run,timestamp,step_round,pos_x,pos_y,action,target_heading_deg,imu_yaw_deg,imu_drift_deg,tof_distance_mm,gimbal_pitch_deg,gimbal_yaw_deg,cell_cost,cumulative_cost,distance_m,status,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,2026-09-14 14:59:45.956,0,1,4,START,0.00,1.29,0.00,1506.0,-1.20,0.00,2,0,0.00,SUCCESS,-0.017,0.013,-1.005,-0.008,0.002,0.005
1,2026-09-14 14:59:55.475,1,1,3,MOVE_TO_CELL,-90.00,91.05,-178.95,2052.0,1.10,0.00,2,2,0.60,SUCCESS,0.035,0.032,-1.004,-0.006,0.010,0.031
1,2026-09-14 15:00:01.777,2,1,2,MOVE_TO_CELL,-90.00,90.96,-179.04,1508.0,1.00,0.00,3,5,1.20,SUCCESS,0.006,0.016,-1.004,-0.022,-0.006,-0.003
1,2026-09-14 15:00:09.857,3,2,2,MOVE_TO_CELL,0.00,1.60,1.60,857.0,-1.30,0.00,1,6,1.80,SUCCESS,-0.010,0.061,-1.000,-0.014,0.036,-0.020
1,2026-09-14 15:00:23.236,4,2,1,MOVE_TO_CELL,-90.00,91.67,-178.33,964.0,1.40,0.10,3,9,2.40,SUCCESS,0.034,0.006,-1.003,-0.011,0.007,-0.021
1,2026-09-14 15:00:32.878,5,3,1,MOVE_TO_CELL,0.00,2.59,2.59,1393.0,-1.80,0.00,2,11,3.00,SUCCESS,-0.026,-0.044,-0.999,0.000,-0.003,0.027
1,2026-09-14 15:00:41.098,6,4,1,REACH_GOAL,0.00,2.64,2.64,813.0,-1.60,0.10,1,12,3.60,GOAL_REACHED,-0.055,-0.060,-1.009,0.027,-0.020,-0.034
2,2026-09-14 15:01:05.417,0,1,4,START,0.00,1.68,0.00,1597.0,-1.90,0.10,2,0,0.00,SUCCESS,-0.013,0.014,-1.001,-0.009,0.007,0.006
2,2026-09-14 15:01:14.417,1,1,3,MOVE_TO_CELL,-90.00,91.12,-178.88,2063.0,0.90,0.00,2,2,0.60,SUCCESS,-0.011,0.021,-0.991,0.025,0.016,-0.005
2,2026-09-14 15:01:20.477,2,1,2,MOVE_TO_CELL,-90.00,91.20,-178.80,1531.0,0.50,-0.10,3,5,1.20,SUCCESS,-0.056,0.015,-1.000,-0.016,0.018,0.024
2,2026-09-14 15:01:28.157,3,2,2,MOVE_TO_CELL,0.00,2.29,2.29,960.0,-2.70,0.20,1,6,1.80,SUCCESS,-0.047,-0.063,-1.013,-0.001,-0.011,0.058
2,2026-09-14 15:01:41.538,4,2,1,MOVE_TO_CELL,-90.00,90.97,-179.03,989.0,1.70,0.30,3,9,2.40,SUCCESS,-0.006,0.080,-1.001,0.001,0.018,-0.014
2,2026-09-14 15:01:49.998,5,3,1,MOVE_TO_CELL,0.00,1.75,1.75,1449.0,-3.90,0.10,2,11,3.00,SUCCESS,0.020,-0.040,-1.003,-0.004,-0.008,0.016
2,2026-09-14 15:01:57.497,6,4,1,REACH_GOAL,0.00,1.55,1.55,916.0,-3.80,0.20,1,12,3.60,GOAL_REACHED,0.007,0.077,-1.009,-0.002,0.006,-0.020
3,2026-09-14 15:02:23.959,0,1,4,START,0.00,1.63,0.00,1557.0,-3.60,0.00,2,0,0.00,SUCCESS,-0.013,0.014,-1.001,-0.009,0.007,0.006
3,2026-09-14 15:02:33.176,1,1,3,MOVE_TO_CELL,-90.00,90.77,-179.23,2074.0,2.10,0.00,2,2,0.60,SUCCESS,0.023,0.020,-1.001,-0.022,0.005,0.014
3,2026-09-14 15:02:39.438,2,1,2,MOVE_TO_CELL,-90.00,90.52,-179.48,1534.0,1.80,-0.10,3,5,1.20,SUCCESS,-0.084,-0.044,-1.001,-0.008,0.013,0.053
3,2026-09-14 15:02:47.598,3,2,2,MOVE_TO_CELL,0.00,1.61,1.61,1006.0,-3.60,0.00,1,6,1.80,SUCCESS,-0.021,0.032,-0.992,-0.006,0.025,0.048
3,2026-09-14 15:03:01.000,4,2,1,MOVE_TO_CELL,-90.00,90.78,-179.22,989.0,2.30,0.00,3,9,2.40,SUCCESS,-0.033,-0.017,-1.001,-0.006,0.015,0.041
3,2026-09-14 15:03:09.418,5,3,1,MOVE_TO_CELL,0.00,2.42,2.42,1436.0,-3.70,0.20,2,11,3.00,SUCCESS,-0.001,-0.064,-1.004,0.003,-0.008,0.047
3,2026-09-14 15:03:16.999,6,4,1,REACH_GOAL,0.00,2.29,2.29,900.0,-3.70,0.00,1,12,3.60,GOAL_REACHED,-0.015,-0.037,-0.989,-0.035,0.017,0.063
