run,timestamp,step_round,pos_x,pos_y,action,target_heading_deg,imu_yaw_deg,imu_drift_deg,tof_distance_mm,gimbal_pitch_deg,gimbal_yaw_deg,cell_cost,cumulative_cost,distance_m,status,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,2026-09-14 17:11:07.391,0,1,4,START,0.00,-2.38,0.00,1585.0,-1.30,-0.10,2,0,0.00,SUCCESS,-0.011,0.016,-1.000,-0.006,0.007,0.003
1,2026-09-14 17:11:16.373,1,1,3,MOVE_TO_CELL,-90.00,87.70,177.70,1744.0,-3.50,-0.10,2,2,0.60,SUCCESS,0.048,-0.034,-1.008,-0.008,0.009,-0.015
1,2026-09-14 17:11:22.473,2,1,2,MOVE_TO_CELL,-90.00,87.66,177.66,1429.0,-3.80,-0.20,3,5,1.20,SUCCESS,0.009,0.038,-0.996,0.006,0.002,-0.017
1,2026-09-14 17:11:29.876,3,2,2,MOVE_TO_CELL,0.00,-1.02,-1.02,917.0,-1.30,-0.10,1,6,1.80,SUCCESS,0.020,0.059,-1.005,-0.015,0.009,-0.043
1,2026-09-14 17:11:43.256,4,2,1,MOVE_TO_CELL,-90.00,87.75,177.75,903.0,-3.00,0.00,3,9,2.40,SUCCESS,-0.058,0.051,-1.002,-0.014,0.001,0.107
1,2026-09-14 17:11:51.358,5,3,1,MOVE_TO_CELL,0.00,-2.73,-2.73,1365.0,-1.70,-0.20,2,11,3.00,SUCCESS,0.069,-0.028,-1.007,-0.012,-0.008,-0.013
1,2026-09-14 17:11:58.118,6,4,1,REACH_GOAL,0.00,-2.56,-2.56,799.0,-1.40,0.00,1,12,3.60,GOAL_REACHED,0.024,-0.020,-1.002,0.002,0.007,-0.060
2,2026-09-14 17:12:45.122,0,1,4,START,0.00,-1.72,0.00,1687.0,-1.50,0.00,2,0,0.00,SUCCESS,-0.011,0.015,-1.000,-0.005,0.007,0.003
2,2026-09-14 17:12:54.502,1,1,3,MOVE_TO_CELL,-90.00,87.71,177.71,1732.0,-3.60,0.00,2,2,0.60,SUCCESS,0.002,0.061,-0.999,-0.022,0.003,0.009
2,2026-09-14 17:13:00.662,2,1,2,MOVE_TO_CELL,-90.00,87.69,177.69,1485.0,-3.80,0.00,3,5,1.20,SUCCESS,-0.066,0.016,-0.998,-0.009,0.008,-0.014
2,2026-09-14 17:13:08.524,3,2,2,MOVE_TO_CELL,0.00,-1.66,-1.66,1474.0,-1.20,0.00,1,6,1.80,SUCCESS,0.008,-0.027,-1.008,0.001,-0.030,0.030
2,2026-09-14 17:13:21.904,4,2,1,MOVE_TO_CELL,-90.00,88.08,178.08,998.0,-3.40,0.00,3,9,2.40,SUCCESS,-0.043,0.019,-1.003,0.001,0.008,0.003
2,2026-09-14 17:13:31.305,5,3,1,MOVE_TO_CELL,0.00,-1.85,-1.85,1263.0,-0.80,-0.10,2,11,3.00,SUCCESS,0.034,0.024,-0.996,0.010,0.008,-0.054
2,2026-09-14 17:13:37.865,6,4,1,REACH_GOAL,0.00,-1.81,-1.81,683.0,-0.60,0.10,1,12,3.60,GOAL_REACHED,0.022,-0.023,-1.002,0.011,0.002,0.023
3,2026-09-14 17:14:28.646,0,1,4,START,0.00,-2.08,0.00,1710.0,-0.70,0.00,2,0,0.00,SUCCESS,-0.012,0.015,-1.002,-0.009,0.008,0.004
3,2026-09-14 17:14:38.406,1,1,3,MOVE_TO_CELL,-90.00,87.32,177.32,1481.0,-4.80,0.00,2,2,0.60,SUCCESS,-0.034,0.031,-0.999,-0.011,-0.004,-0.009
3,2026-09-14 17:14:44.827,2,1,2,MOVE_TO_CELL,-90.00,87.28,177.28,1434.0,-5.20,-0.10,3,5,1.20,SUCCESS,0.019,0.027,-0.996,-0.005,0.022,0.015
3,2026-09-14 17:14:53.527,3,2,2,MOVE_TO_CELL,0.00,-1.59,-1.59,1457.0,-1.20,0.00,1,6,1.80,SUCCESS,-0.081,0.035,-1.000,-0.005,-0.014,0.012
3,2026-09-14 17:15:06.907,4,2,1,MOVE_TO_CELL,-90.00,88.99,178.99,995.0,-4.40,0.00,3,9,2.40,SUCCESS,-0.012,0.038,-0.999,-0.006,0.007,-0.005
3,2026-09-14 17:15:16.448,5,3,1,MOVE_TO_CELL,0.00,-0.19,-0.19,1341.0,-1.80,0.00,2,11,3.00,SUCCESS,-0.055,0.030,-1.002,-0.006,0.006,-0.035
3,2026-09-14 17:15:24.269,6,4,1,REACH_GOAL,0.00,-0.03,-0.03,770.0,-1.60,0.10,1,12,3.60,GOAL_REACHED,-0.010,0.131,-0.998,-0.006,0.004,-0.039
